Source,Destination,Distance(M)
City_54,City_57,2614365
City_54,City_58,2549306
City_54,City_42,1938520
City_54,City_13,1302027
City_54,City_14,1304637
City_54,City_37,1954306
City_54,City_30,1652337
City_54,City_5,534304
City_54,City_41,1971630
City_54,City_52,2889181
City_54,City_26,1420326
City_54,City_21,2888241
City_54,City_28,1753239
City_54,City_36,1426135
City_54,City_44,1844960
City_54,City_43,1847562
City_54,City_10,1286885
City_54,City_32,2160818
City_54,City_33,2140999
City_54,City_3,1484202
City_54,City_9,556025
City_54,City_34,1032819
City_54,City_59,1909965
City_54,City_16,2936245
City_54,City_29,1776212
City_54,City_8,1744257
City_54,City_40,1950298
City_54,City_11,1233340
City_54,City_23,1726623
City_54,City_4,851283
City_54,City_25,1774390
City_54,City_15,2930492
City_54,City_27,1762160
City_54,City_55,261107
City_54,City_39,1941707
City_54,City_49,2441318
City_54,City_17,2928512
City_54,City_38,2010723
City_54,City_0,1866020
City_54,City_1,1846722
City_54,City_22,1686835
City_54,City_2,1842369
City_54,City_18,2935953
City_54,City_50,2397102
City_54,City_60,2459212
City_54,City_7,2702529
City_54,City_61,2447861
City_53,City_24,1721435
City_53,City_47,2304504
City_53,City_31,1806759
City_53,City_54,18106
City_53,City_19,3038297
City_53,City_12,1197642
City_53,City_46,2211698
City_53,City_45,2212612
City_53,City_51,2777814
City_53,City_6,2517485
City_53,City_20,3040598
City_53,City_56,2569888
City_53,City_35,970200
City_53,City_48,2443244
City_53,City_57,2616459
City_53,City_58,2551400
City_53,City_42,1940614
City_53,City_13,1304121
City_53,City_14,1306731
City_53,City_37,1956400
City_53,City_30,1654431
City_53,City_5,521584
City_53,City_41,1973724
City_53,City_52,2891275
City_53,City_26,1422420
City_53,City_21,2890335
City_53,City_28,1755333
City_53,City_36,1428229
City_53,City_44,1847054
City_53,City_43,1849656
City_53,City_10,1288979
City_53,City_32,2162912
City_53,City_33,2143093
City_53,City_3,1486296
City_53,City_9,558119
City_53,City_34,1034913
City_53,City_59,1912059
City_53,City_16,2938339
City_53,City_29,1778306
City_53,City_8,1746351
City_53,City_40,1952392
City_53,City_11,1235434
City_53,City_23,1728717
City_53,City_4,853377
City_53,City_25,1776484
City_53,City_15,2932586
City_53,City_27,1764254
City_53,City_55,248487
City_53,City_39,1943801
City_53,City_49,2443412
City_53,City_17,2930606
City_53,City_38,2012817
City_53,City_0,1868114
City_53,City_1,1848816
City_53,City_22,1688929
City_53,City_2,1844463
City_53,City_18,2938047
City_53,City_50,2399196
City_53,City_60,2461306
City_53,City_7,2704623
City_53,City_61,2449955
City_19,City_24,1601621
City_19,City_47,742273
City_19,City_31,1515190
City_19,City_54,3032754
City_19,City_53,3046651
City_19,City_12,1869706
City_19,City_46,929535
City_19,City_45,927728
City_19,City_51,657743
City_19,City_6,1582121
City_19,City_20,28401
City_19,City_56,1416075
City_19,City_35,2115205
City_19,City_48,695755
City_19,City_57,1411229
City_19,City_58,1432111
City_19,City_42,1105214
City_19,City_13,1980916
City_19,City_14,1980295
City_19,City_37,1462380
City_19,City_30,1594697
City_19,City_5,3172920
City_19,City_41,1469326
City_19,City_52,1042914
City_19,City_26,1653687
City_19,City_21,577230
City_19,City_28,1562279
City_19,City_36,1626550
City_19,City_44,1293576
City_19,City_43,1293991
City_19,City_10,1768277
City_19,City_32,902764
City_19,City_33,904296
City_19,City_3,2551731
City_19,City_9,2268085
City_19,City_34,2049351
City_19,City_59,1812336
City_19,City_16,165240
City_19,City_29,1556847
City_19,City_8,1399781
City_19,City_40,1447994
City_19,City_11,1963622
City_19,City_23,1459206
City_19,City_4,2229870
City_19,City_25,1483749
City_19,City_15,131325
City_19,City_27,1493333
City_19,City_55,2872342
City_19,City_39,1360420
City_19,City_49,1024142
City_19,City_17,126963
City_19,City_38,1455220
City_19,City_0,1524708
City_19,City_1,1545653
City_19,City_22,1464021
City_19,City_2,1525786
City_19,City_18,104145
City_19,City_50,1075549
City_19,City_60,2635426
City_19,City_7,1690029
City_19,City_61,1021761
City_12,City_24,773345
City_12,City_47,1134874
City_12,City_31,806412
City_12,City_54,1190151
City_12,City_53,1204048
City_12,City_19,1868667
City_12,City_46,1041944
City_12,City_45,1042858
City_12,City_51,1607189
City_12,City_6,1408826
City_12,City_20,1870968
City_12,City_56,1461229
City_12,City_35,348828
City_12,City_48,1273490
City_12,City_57,1507800
City_12,City_58,1442741
City_12,City_42,770984
City_12,City_13,429103
City_12,City_14,428482
City_12,City_37,974142
City_12,City_30,664370
City_12,City_5,1330317
City_12,City_41,803970
City_12,City_52,1721521
City_12,City_26,325035
City_12,City_21,1720581
City_12,City_28,756715
City_12,City_36,258599
City_12,City_44,677300
City_12,City_43,679902
City_12,City_10,261775
City_12,City_32,993282
City_12,City_33,973463
City_12,City_3,983353
City_12,City_9,622152
City_12,City_34,324299
City_12,City_59,817663
City_12,City_16,1768709
City_12,City_29,775986
City_12,City_8,688852
City_12,City_40,782638
City_12,City_11,361088
City_12,City_23,694108
City_12,City_4,433618
City_12,City_25,739921
City_12,City_15,1762956
City_12,City_27,776875
City_12,City_55,1029739
City_12,City_39,907238
City_12,City_49,1413087
City_12,City_17,1760976
City_12,City_38,1030559
City_12,City_0,920024
City_12,City_1,900726
City_12,City_22,652366
City_12,City_2,896373
City_12,City_18,1768417
City_12,City_50,1368871
City_12,City_60,1545859
City_12,City_7,1614283
City_12,City_61,1419630
City_46,City_24,1138566
City_46,City_47,237048
City_46,City_31,1103684
City_46,City_54,2203086
City_46,City_53,2216983
City_46,City_19,930746
City_46,City_12,1042546
City_46,City_45,4779
City_46,City_51,980447
City_46,City_6,814313
City_46,City_20,932963
City_46,City_56,737754
City_46,City_35,1280356
City_46,City_48,243793
City_46,City_57,750777
City_46,City_58,749000
City_46,City_42,387083
City_46,City_13,1092920
City_46,City_14,1092299
City_46,City_37,1139583
City_46,City_30,1041339
City_46,City_5,2343252
City_46,City_41,552557
City_46,City_52,680782
City_46,City_26,1016864
City_46,City_21,710345
City_46,City_28,1059707
City_46,City_36,860246
City_46,City_44,376807
City_46,City_43,377222
City_46,City_10,1076195
City_46,City_32,534446
City_46,City_33,518717
City_46,City_3,1658268
City_46,City_9,1641918
City_46,City_34,1214502
City_46,City_59,895567
City_46,City_16,798345
City_46,City_29,1068184
City_46,City_8,881812
City_46,City_40,531225
City_46,City_11,1339427
City_46,City_23,941237
City_46,City_4,1395021
City_46,City_25,965780
City_46,City_15,861539
City_46,City_27,1002734
City_46,City_55,2042674
City_46,City_39,941076
City_46,City_49,1044694
City_46,City_17,823055
City_46,City_38,1144959
City_46,City_0,1163816
City_46,City_1,1152093
City_46,City_22,916513
City_46,City_2,1137999
City_46,City_18,846157
City_46,City_50,1072382
City_46,City_60,1718657
City_46,City_7,1058725
City_46,City_61,1052512
City_45,City_24,1139157
City_45,City_47,234821
City_45,City_31,1104275
City_45,City_54,2203663
City_45,City_53,2217560
City_45,City_19,928519
City_45,City_12,1043123
City_45,City_46,4435
City_45,City_51,978220
City_45,City_6,818316
City_45,City_20,930736
City_45,City_56,741757
City_45,City_35,1280933
City_45,City_48,241566
City_45,City_57,754780
City_45,City_58,753003
City_45,City_42,387660
City_45,City_13,1093497
City_45,City_14,1092876
City_45,City_37,1140174
City_45,City_30,1041930
City_45,City_5,2343829
City_45,City_41,553134
City_45,City_52,671049
City_45,City_26,1017441
City_45,City_21,708118
City_45,City_28,1060298
City_45,City_36,860823
City_45,City_44,377384
City_45,City_43,377799
City_45,City_10,1076772
City_45,City_32,532219
City_45,City_33,516490
City_45,City_3,1658845
City_45,City_9,1642495
City_45,City_34,1215079
City_45,City_59,896144
City_45,City_16,796118
City_45,City_29,1068775
City_45,City_8,882403
City_45,City_40,531802
City_45,City_11,1340004
City_45,City_23,941828
City_45,City_4,1395598
City_45,City_25,966371
City_45,City_15,859312
City_45,City_27,1003325
City_45,City_55,2043251
City_45,City_39,941667
City_45,City_49,1042467
City_45,City_17,820828
City_45,City_38,1145550
City_45,City_0,1164407
City_45,City_1,1152684
City_45,City_22,917104
City_45,City_2,1138590
City_45,City_18,843930
City_45,City_50,1070155
City_45,City_60,1719234
City_45,City_7,1062728
City_45,City_61,1050285
City_51,City_24,1109513
City_51,City_47,759675
City_51,City_31,1024318
City_51,City_54,2762513
City_51,City_53,2776410
City_51,City_19,652066
City_51,City_12,1599465
City_51,City_46,973045
City_51,City_45,971238
City_51,City_6,1774087
City_51,City_20,673431
City_51,City_56,1638362
City_51,City_35,1921190
City_51,City_48,878001
City_51,City_57,1641936
City_51,City_58,1654398
City_51,City_42,983581
City_51,City_13,1889942
City_51,City_14,1889321
City_51,City_37,896499
City_51,City_30,1167368
City_51,City_5,2902679
City_51,City_41,1439645
City_51,City_52,1414815
City_51,City_26,1351066
City_51,City_21,1049256
City_51,City_28,1076042
City_51,City_36,1372076
City_51,City_44,1282256
City_51,City_43,1281029
City_51,City_10,1465656
City_51,City_32,630222
City_51,City_33,640240
City_51,City_3,2469421
City_51,City_9,1891945
City_51,City_34,1896661
City_51,City_59,1782788
City_51,City_16,644049
City_51,City_29,1065975
City_51,City_8,1023630
City_51,City_40,1418313
City_51,City_11,1587482
City_51,City_23,1083055
City_51,City_4,2005980
City_51,City_25,1048746
City_51,City_15,552933
City_51,City_27,1038155
City_51,City_55,2602101
City_51,City_39,905242
City_51,City_49,380428
City_51,City_17,631309
City_51,City_38,839690
City_51,City_0,1006911
City_51,City_1,1043730
City_51,City_22,1087870
City_51,City_2,1023863
City_51,City_18,597789
City_51,City_50,431835
City_51,City_60,2605878
City_51,City_7,1944173
City_51,City_61,378047
City_6,City_24,1693152
City_6,City_47,1036663
City_6,City_31,1663865
City_6,City_54,2493580
City_6,City_53,2507477
City_6,City_19,1547465
City_6,City_12,1393144
City_6,City_46,815170
City_6,City_45,818289
City_6,City_51,1763259
City_6,City_20,1549682
City_6,City_56,174244
City_6,City_35,1536190
City_6,City_48,886953
City_6,City_57,201908
City_6,City_58,162997
City_6,City_42,933872
City_6,City_13,1207531
City_6,City_14,1207227
City_6,City_37,1788248
City_6,City_30,1578800
City_6,City_5,2633746
City_6,City_41,642222
City_6,City_52,571538
City_6,City_26,1382384
City_6,City_21,1048708
City_6,City_28,1614168
City_6,City_36,1225766
City_6,City_44,790636
City_6,City_43,793238
City_6,City_10,1441715
City_6,City_32,1271288
City_6,City_33,1251469
City_6,City_3,1442526
City_6,City_9,2007438
City_6,City_34,1470336
City_6,City_59,612374
City_6,City_16,1415064
City_6,City_29,1632105
City_6,City_8,1432557
City_6,City_40,623614
City_6,City_11,1704947
City_6,City_23,1488548
City_6,City_4,1666809
City_6,City_25,1545348
City_6,City_15,1475104
City_6,City_27,1582302
City_6,City_55,2333168
City_6,City_39,1587078
City_6,City_49,1817325
City_6,City_17,1439774
City_6,City_38,1790961
City_6,City_0,1764657
City_6,City_1,1752934
City_6,City_22,1453974
City_6,City_2,1738840
City_6,City_18,1457067
City_6,City_50,1845013
City_6,City_60,1020853
City_6,City_7,259309
City_6,City_61,1825143
City_20,City_24,1619531
City_20,City_47,744950
City_20,City_31,1533100
City_20,City_54,3035431
City_20,City_53,3049328
City_20,City_19,29628
City_20,City_12,1872383
City_20,City_46,932962
City_20,City_45,931155
City_20,City_51,675653
City_20,City_6,1565356
City_20,City_56,1399310
City_20,City_35,2117882
City_20,City_48,699182
City_20,City_57,1394464
City_20,City_58,1415346
City_20,City_42,1107891
City_20,City_13,1983593
City_20,City_14,1982972
City_20,City_37,1480290
City_20,City_30,1625718
City_20,City_5,3175597
City_20,City_41,1472753
City_20,City_52,1026149
City_20,City_26,1664671
City_20,City_21,560465
City_20,City_28,1580189
City_20,City_36,1629227
City_20,City_44,1297003
City_20,City_43,1297418
City_20,City_10,1779261
City_20,City_32,913748
City_20,City_33,915280
City_20,City_3,2554408
City_20,City_9,2279069
City_20,City_34,2052028
City_20,City_59,1815763
City_20,City_16,150088
City_20,City_29,1574757
City_20,City_8,1427892
City_20,City_40,1451421
City_20,City_11,1974606
City_20,City_23,1487317
City_20,City_4,2232547
City_20,City_25,1511860
City_20,City_15,149235
City_20,City_27,1511243
City_20,City_55,2875019
City_20,City_39,1378330
City_20,City_49,1042052
City_20,City_17,122249
City_20,City_38,1473130
City_20,City_0,1542618
City_20,City_1,1563563
City_20,City_22,1492132
City_20,City_2,1543696
City_20,City_18,117869
City_20,City_50,1093459
City_20,City_60,2581723
City_20,City_7,1673264
City_20,City_61,1039671
City_56,City_24,1642071
City_56,City_47,955556
City_56,City_31,1612784
City_56,City_54,2564872
City_56,City_53,2578769
City_56,City_19,1415285
City_56,City_12,1464436
City_56,City_46,740132
City_56,City_45,743251
City_56,City_51,1646450
City_56,City_6,175210
City_56,City_20,1397044
City_56,City_35,1607482
City_56,City_48,770144
City_56,City_57,52018
City_56,City_58,26386
City_56,City_42,876330
City_56,City_13,1278823
City_56,City_14,1278519
City_56,City_37,1740056
City_56,City_30,1527719
City_56,City_5,2705038
City_56,City_41,697477
City_56,City_52,399696
City_56,City_26,1437639
City_56,City_21,882673
City_56,City_28,1563087
City_56,City_36,1281021
City_56,City_44,810441
City_56,City_43,810856
City_56,City_10,1496970
City_56,City_32,1213746
City_56,City_33,1193927
City_56,City_3,1530812
City_56,City_9,2062693
City_56,City_34,1541628
City_56,City_59,717329
City_56,City_16,1254511
City_56,City_29,1581024
City_56,City_8,1381476
City_56,City_40,678869
City_56,City_11,1760202
City_56,City_23,1437467
City_56,City_4,1738101
City_56,City_25,1494267
City_56,City_15,1355068
City_56,City_27,1531221
City_56,City_55,2404460
City_56,City_39,1529536
City_56,City_49,1759783
City_56,City_17,1293399
City_56,City_38,1733419
City_56,City_0,1716465
City_56,City_1,1704742
City_56,City_22,1402893
City_56,City_2,1690648
City_56,City_18,1327372
City_56,City_50,1787471
City_56,City_60,1191577
City_56,City_7,324322
City_56,City_61,1767601
City_35,City_24,1053503
City_35,City_47,1381910
City_35,City_31,1086570
City_35,City_54,965794
City_35,City_53,979691
City_35,City_19,2115703
City_35,City_12,349900
City_35,City_46,1288839
City_35,City_45,1289753
City_35,City_51,1929077
City_35,City_6,1562883
City_35,City_20,2118004
City_35,City_56,1615286
City_35,City_48,1520385
City_35,City_57,1661857
City_35,City_58,1596798
City_35,City_42,1031984
City_35,City_13,349519
City_35,City_14,352129
City_35,City_37,1254300
City_35,City_30,944528
City_35,City_5,1105960
City_35,City_41,1024657
City_35,City_52,1968416
City_35,City_26,628528
City_35,City_21,1967476
City_35,City_28,1036873
City_35,City_36,580487
City_35,City_44,924195
City_35,City_43,926797
City_35,City_10,541842
City_35,City_32,1315170
City_35,City_33,1295351
City_35,City_3,681711
City_35,City_9,770966
City_35,City_34,80311
City_35,City_59,957457
City_35,City_16,2015745
City_35,City_29,1056144
City_35,City_8,989133
City_35,City_40,1029533
City_35,City_11,585616
City_35,City_23,994389
City_35,City_4,139023
City_35,City_25,1040202
City_35,City_15,2030835
City_35,City_27,1077156
City_35,City_55,805382
City_35,City_39,1207519
City_35,City_49,1713368
City_35,City_17,2008012
City_35,City_38,1310717
City_35,City_0,1200182
City_35,City_1,1180884
City_35,City_22,952647
City_35,City_2,1176531
City_35,City_18,2015453
City_35,City_50,1669152
City_35,City_60,1538638
City_35,City_7,1750021
City_35,City_61,1719911
City_48,City_24,1291287
City_48,City_47,209554
City_48,City_31,1215596
City_48,City_54,2438866
City_48,City_53,2452763
City_48,City_19,696083
City_48,City_12,1278326
City_48,City_46,248546
City_48,City_45,246739
City_48,City_51,884634
City_48,City_6,934993
City_48,City_20,698300
City_48,City_56,768031
City_48,City_35,1516136
City_48,City_57,771605
City_48,City_58,784067
City_48,City_42,539636
City_48,City_13,1328700
City_48,City_14,1328079
City_48,City_37,1162786
City_48,City_30,1194060
City_48,City_5,2579032
City_48,City_41,788337
City_48,City_52,602250
City_48,City_26,1202325
City_48,City_21,475780
City_48,City_28,1212428
City_48,City_36,1060972
City_48,City_44,612587
City_48,City_43,613002
City_48,City_10,1306350
City_48,City_32,539764
City_48,City_33,541296
City_48,City_3,1894048
City_48,City_9,1840812
City_48,City_34,1450282
City_48,City_59,1131347
City_48,City_16,563682
City_48,City_29,1220905
City_48,City_8,1034533
City_48,City_40,767005
City_48,City_11,1536349
City_48,City_23,1093958
City_48,City_4,1630801
City_48,City_25,1118501
City_48,City_15,623722
City_48,City_27,1155455
City_48,City_55,2278454
City_48,City_39,1060826
City_48,City_49,1016932
City_48,City_17,588392
City_48,City_38,1155626
City_48,City_0,1225114
City_48,City_1,1246059
City_48,City_22,1069234
City_48,City_2,1226192
City_48,City_18,605685
City_48,City_50,1044620
City_48,City_60,1954437
City_48,City_7,1073842
City_48,City_61,1024750
City_57,City_24,1684376
City_57,City_47,968010
City_57,City_31,1655089
City_57,City_54,2610667
City_57,City_53,2624564
City_57,City_19,1411413
City_57,City_12,1510231
City_57,City_46,752586
City_57,City_45,755705
City_57,City_51,1649386
City_57,City_6,205498
City_57,City_20,1393172
City_57,City_56,53030
City_57,City_35,1653277
City_57,City_48,773080
City_57,City_58,72693
City_57,City_42,918635
City_57,City_13,1324618
City_57,City_14,1324314
City_57,City_37,1782361
City_57,City_30,1570024
City_57,City_5,2750833
City_57,City_41,743272
City_57,City_52,394995
City_57,City_26,1483434
City_57,City_21,878801
City_57,City_28,1605392
City_57,City_36,1326816
City_57,City_44,852746
City_57,City_43,853161
City_57,City_10,1542765
City_57,City_32,1265408
City_57,City_33,1236232
City_57,City_3,1576607
City_57,City_9,2108488
City_57,City_34,1587423
City_57,City_59,763124
City_57,City_16,1250639
City_57,City_29,1623329
City_57,City_8,1423781
City_57,City_40,724664
City_57,City_11,1805997
City_57,City_23,1479772
City_57,City_4,1783896
City_57,City_25,1536572
City_57,City_15,1351196
City_57,City_27,1573526
City_57,City_55,2450255
City_57,City_39,1571841
City_57,City_49,1775656
City_57,City_17,1289527
City_57,City_38,1775724
City_57,City_0,1758770
City_57,City_1,1747047
City_57,City_22,1445198
City_57,City_2,1732953
City_57,City_18,1323500
City_57,City_50,1803344
City_57,City_60,1221865
City_57,City_7,335412
City_57,City_61,1783474
City_58,City_24,1638482
City_58,City_47,971007
City_58,City_31,1609195
City_58,City_54,2543984
City_58,City_53,2557881
City_58,City_19,1431112
City_58,City_12,1443548
City_58,City_46,754039
City_58,City_45,757158
City_58,City_51,1662277
City_58,City_6,163769
City_58,City_20,1412871
City_58,City_56,23706
City_58,City_35,1586594
City_58,City_48,785971
City_58,City_57,70403
City_58,City_42,872741
City_58,City_13,1257935
City_58,City_14,1257631
City_58,City_37,1736467
City_58,City_30,1524130
City_58,City_5,2684150
City_58,City_41,676589
City_58,City_52,415523
City_58,City_26,1416751
City_58,City_21,898500
City_58,City_28,1559498
City_58,City_36,1260133
City_58,City_44,806852
City_58,City_43,807267
City_58,City_10,1476082
City_58,City_32,1210157
City_58,City_33,1190338
City_58,City_3,1509924
City_58,City_9,2041805
City_58,City_34,1520740
City_58,City_59,696441
City_58,City_16,1270338
City_58,City_29,1577435
City_58,City_8,1377887
City_58,City_40,657981
City_58,City_11,1739314
City_58,City_23,1433878
City_58,City_4,1717213
City_58,City_25,1490678
City_58,City_15,1370895
City_58,City_27,1527632
City_58,City_55,2383572
City_58,City_39,1525947
City_58,City_49,1756194
City_58,City_17,1309226
City_58,City_38,1729830
City_58,City_0,1712876
City_58,City_1,1701153
City_58,City_22,1399304
City_58,City_2,1687059
City_58,City_18,1343199
City_58,City_50,1783882
City_58,City_60,1180136
City_58,City_7,331173
City_58,City_61,1764012
City_42,City_24,774490
City_42,City_47,373720
City_42,City_31,745203
City_42,City_54,1926492
City_42,City_53,1940389
City_42,City_19,1107513
City_42,City_12,763444
City_42,City_46,386152
City_42,City_45,387066
City_42,City_51,991694
City_42,City_6,933614
City_42,City_20,1109814
City_42,City_56,873406
City_42,City_35,1025649
City_42,City_48,536175
City_42,City_57,917543
City_42,City_58,868301
City_42,City_13,918847
City_42,City_14,918226
City_42,City_37,863147
City_42,City_30,660138
City_42,City_5,2066658
City_42,City_41,462398
City_42,City_52,1065729
City_42,City_26,647924
City_42,City_21,966442
City_42,City_28,695506
City_42,City_36,520288
City_42,City_44,305009
City_42,City_43,303782
City_42,City_10,765666
City_42,City_32,362064
City_42,City_33,342245
City_42,City_3,1498326
City_42,City_9,1286411
City_42,City_34,959795
City_42,City_59,805541
City_42,City_16,1007555
City_42,City_29,713443
City_42,City_8,513895
City_42,City_40,441066
City_42,City_11,981948
City_42,City_23,569886
City_42,City_4,1126207
City_42,City_25,626686
City_42,City_15,1022645
City_42,City_27,663640
City_42,City_55,1766080
City_42,City_39,674570
City_42,City_49,908101
City_42,City_17,999822
City_42,City_38,873733
City_42,City_0,839556
City_42,City_1,827833
City_42,City_22,535312
City_42,City_2,813739
City_42,City_18,1007263
City_42,City_50,935789
City_42,City_60,1628631
City_42,City_7,1178026
City_42,City_61,915919
City_13,City_24,1193201
City_13,City_47,1236232
City_13,City_31,1226268
City_13,City_54,1298612
City_13,City_53,1312509
City_13,City_19,1970025
City_13,City_12,426683
City_13,City_46,1090697
City_13,City_45,1091611
City_13,City_51,1891805
City_13,City_6,1222466
City_13,City_20,1972326
City_13,City_56,1274869
City_13,City_35,341222
City_13,City_48,1322243
City_13,City_57,1321440
City_13,City_58,1256381
City_13,City_42,912870
City_13,City_14,5326
City_13,City_37,1393998
City_13,City_30,1084226
City_13,City_5,1438778
City_13,City_41,701206
City_13,City_52,1662055
City_13,City_26,744136
City_13,City_21,1788795
City_13,City_28,1176571
City_13,City_36,596634
City_13,City_44,726053
City_13,City_43,728655
City_13,City_10,681540
City_13,City_32,1262175
City_13,City_33,1242356
City_13,City_3,576658
City_13,City_9,981298
City_13,City_34,275368
City_13,City_59,617040
City_13,City_16,1870067
City_13,City_29,1195842
City_13,City_8,1094505
City_13,City_40,718425
City_13,City_11,743982
City_13,City_23,1104951
City_13,City_4,471841
City_13,City_25,1150764
City_13,City_15,1885157
City_13,City_27,1187718
City_13,City_55,1138200
City_13,City_39,1318081
City_13,City_49,1779510
City_13,City_17,1862334
City_13,City_38,1450415
City_13,City_0,1339880
City_13,City_1,1320582
City_13,City_22,1063209
City_13,City_2,1316229
City_13,City_18,1869775
City_13,City_50,1779714
City_13,City_60,1203858
City_13,City_7,1409604
City_13,City_61,1787328
City_14,City_24,1194087
City_14,City_47,1237873
City_14,City_31,1250259
City_14,City_54,1301072
City_14,City_53,1314969
City_14,City_19,1971666
City_14,City_12,428324
City_14,City_46,1092338
City_14,City_45,1093252
City_14,City_51,1893446
City_14,City_6,1224107
City_14,City_20,1973967
City_14,City_56,1276510
City_14,City_35,343682
City_14,City_48,1323884
City_14,City_57,1323081
City_14,City_58,1258022
City_14,City_42,914511
City_14,City_13,5715
City_14,City_37,1417989
City_14,City_30,1085112
City_14,City_5,1441238
City_14,City_41,702847
City_14,City_52,1663696
City_14,City_26,745777
City_14,City_21,1790436
City_14,City_28,1200562
City_14,City_36,598275
City_14,City_44,727694
City_14,City_43,730296
City_14,City_10,682517
City_14,City_32,1263816
City_14,City_33,1243997
City_14,City_3,574211
City_14,City_9,983758
City_14,City_34,277828
City_14,City_59,618681
City_14,City_16,1871708
City_14,City_29,1219833
City_14,City_8,1096146
